epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.3265,6.54363,8.46623,8.37138,0.0003,0.07965,0.00016,3e-05,5.60678,9.36328,8.2838,0.000654088,0.000654088,0.000654088
2,28.6176,5.99001,6.76986,7.00914,0.00229,0.61062,0.00575,0.00132,5.45189,7.57656,8.04057,0.00131204,0.00131204,0.00131204
3,34.9727,4.75369,5.67023,5.73677,0.00749,0.23673,0.00593,0.00131,5.876,inf,10.9482,0.00196119,0.00196119,0.00196119
4,41.7957,4.1893,5.02117,5.03233,0.00641,0.57743,0.00632,0.00208,nan,nan,nan,0.0019604,0.0019604,0.0019604
5,49.0976,3.94388,4.60023,4.71686,0.2931,0.37168,0.25213,0.08806,4.088,5.11101,5.50146,0.0019472,0.0019472,0.0019472
6,56.7816,3.71262,4.32231,4.4862,0.29661,0.31637,0.25129,0.10556,3.61904,6.55361,5.05032,0.001934,0.001934,0.001934
7,64.4782,3.56208,4.05928,4.32098,0.18144,0.13496,0.0731,0.02269,4.76855,7.11454,6.19673,0.0019208,0.0019208,0.0019208
8,71.8886,3.47851,3.8201,4.23136,0.39489,0.44027,0.39648,0.18628,3.51619,4.14277,4.73078,0.0019076,0.0019076,0.0019076
9,79.8685,3.35697,3.61299,4.10356,0.45097,0.46903,0.42931,0.19556,3.50882,3.75864,4.78279,0.0018944,0.0018944,0.0018944
10,88.4749,3.39912,3.5589,4.07478,0.43492,0.44273,0.3733,0.17648,3.38658,3.79936,4.57979,0.0018812,0.0018812,0.0018812
11,96.7569,3.27306,3.43718,3.9533,0.39484,0.45354,0.43423,0.22631,3.29986,3.89337,4.52886,0.001868,0.001868,0.001868
12,105.097,3.18983,3.36089,3.8615,0.46226,0.42257,0.38972,0.18612,3.60169,3.85665,4.75031,0.0018548,0.0018548,0.0018548
13,113.441,3.11723,3.24367,3.808,0.50011,0.51991,0.50206,0.23778,3.28415,3.28926,4.49015,0.0018416,0.0018416,0.0018416
14,122.943,3.09714,3.18624,3.82144,0.54064,0.49115,0.51316,0.27797,3.2132,3.25831,4.437,0.0018284,0.0018284,0.0018284
15,131.62,3.07214,3.12169,3.76129,0.51086,0.52434,0.50821,0.29121,3.19261,3.27188,4.39059,0.0018152,0.0018152,0.0018152
16,140.808,2.98133,2.97097,3.68066,0.5356,0.5885,0.54666,0.29426,3.05151,3.05981,4.17178,0.001802,0.001802,0.001802
17,152.413,2.93212,2.90669,3.64277,0.527,0.54204,0.53582,0.28946,3.24309,3.21835,4.36642,0.0017888,0.0017888,0.0017888
18,163.758,2.89634,2.86606,3.58209,0.61744,0.5856,0.63196,0.35876,2.9937,2.87074,4.05355,0.0017756,0.0017756,0.0017756
19,173.865,2.91336,2.80476,3.62582,0.64615,0.59513,0.68586,0.3944,2.9326,2.58448,4.11079,0.0017624,0.0017624,0.0017624
20,183.839,2.88949,2.78771,3.57066,0.65659,0.59735,0.64687,0.38536,2.88018,2.61811,3.96591,0.0017492,0.0017492,0.0017492
21,195.057,2.80402,2.63571,3.48688,0.67362,0.60729,0.65389,0.39144,2.93392,2.72942,3.95858,0.001736,0.001736,0.001736
22,206.561,2.81224,2.65319,3.48662,0.66951,0.62832,0.7067,0.4327,2.68696,2.41801,3.75673,0.0017228,0.0017228,0.0017228
23,218.281,2.70773,2.49015,3.42297,0.6217,0.61283,0.63304,0.3665,2.8498,2.69064,3.96691,0.0017096,0.0017096,0.0017096
24,228.268,2.74918,2.60331,3.44224,0.61279,0.69324,0.67841,0.41241,2.71977,2.44557,3.72593,0.0016964,0.0016964,0.0016964
25,239.151,2.7781,2.55125,3.49045,0.63112,0.64728,0.6726,0.37483,2.98994,2.44076,3.9703,0.0016832,0.0016832,0.0016832
26,255.512,2.73308,2.44401,3.35851,0.72251,0.70575,0.76333,0.45209,2.80711,2.20178,3.79916,0.00167,0.00167,0.00167
27,268.601,2.71257,2.41764,3.38385,0.75548,0.65708,0.77491,0.45938,2.69126,2.19096,3.70858,0.0016568,0.0016568,0.0016568
28,279.501,2.62729,2.37407,3.33073,0.74382,0.67035,0.75177,0.45023,2.85018,2.06392,3.92436,0.0016436,0.0016436,0.0016436
29,290.158,2.61255,2.30765,3.30221,0.73864,0.70133,0.78551,0.48955,2.65603,2.12056,3.68117,0.0016304,0.0016304,0.0016304
30,302.861,2.59755,2.3216,3.27193,0.72776,0.6792,0.76193,0.45924,2.66413,2.2563,3.70661,0.0016172,0.0016172,0.0016172
31,314.187,2.65907,2.39681,3.34118,0.74254,0.73378,0.79545,0.49151,2.8042,1.97645,3.79535,0.001604,0.001604,0.001604
32,326.247,2.51665,2.21561,3.20171,0.76264,0.73929,0.81744,0.51345,2.48196,1.89482,3.49792,0.0015908,0.0015908,0.0015908
33,336.891,2.55911,2.23893,3.2417,0.72944,0.72171,0.76277,0.50103,2.69781,1.92705,3.64329,0.0015776,0.0015776,0.0015776
34,348.512,2.49564,2.21645,3.1774,0.6798,0.73272,0.77995,0.4887,2.56435,1.97513,3.51488,0.0015644,0.0015644,0.0015644
35,361.01,2.50435,2.10401,3.19236,0.75733,0.69044,0.8015,0.51763,2.5888,1.93382,3.55461,0.0015512,0.0015512,0.0015512
36,372.97,2.55781,2.18199,3.22961,0.78181,0.76102,0.82562,0.53643,2.60492,1.80628,3.59366,0.001538,0.001538,0.001538
37,385.162,2.52142,2.15149,3.19035,0.77519,0.70575,0.80579,0.52788,2.50531,1.8727,3.50179,0.0015248,0.0015248,0.0015248
38,396.612,2.50278,2.1245,3.19492,0.79314,0.71256,0.81711,0.46927,2.73813,2.00303,3.67263,0.0015116,0.0015116,0.0015116
39,409.071,2.50952,2.04732,3.1692,0.79384,0.75818,0.843,0.55086,2.47304,1.67721,3.4813,0.0014984,0.0014984,0.0014984
40,421.381,2.4697,2.0327,3.13899,0.83202,0.73673,0.84582,0.5514,2.50386,1.71626,3.44952,0.0014852,0.0014852,0.0014852
41,433.275,2.45447,2.01153,3.14346,0.79879,0.7677,0.85274,0.56096,2.46544,1.62107,3.42177,0.001472,0.001472,0.001472
42,444.725,2.44873,1.99536,3.13063,0.77293,0.64381,0.77863,0.46886,2.67864,1.93657,3.5781,0.0014588,0.0014588,0.0014588
43,456.49,2.41041,1.96525,3.09766,0.77376,0.75221,0.84091,0.53271,2.4349,1.6363,3.37608,0.0014456,0.0014456,0.0014456
44,468.965,2.45644,1.94237,3.12218,0.79395,0.80987,0.88035,0.60492,2.28378,1.54684,3.23548,0.0014324,0.0014324,0.0014324
45,480.596,2.33452,1.88469,3.06171,0.78863,0.74336,0.8417,0.57778,2.3967,1.65013,3.33414,0.0014192,0.0014192,0.0014192
46,497.774,2.43131,1.92857,3.0929,0.72055,0.77212,0.82005,0.52703,2.41527,1.8526,3.38004,0.001406,0.001406,0.001406
47,510.116,2.36662,1.88289,3.03083,0.84027,0.76991,0.8644,0.58452,2.40954,1.58916,3.33459,0.0013928,0.0013928,0.0013928
48,521.029,2.3311,1.84663,3.03276,0.84003,0.83647,0.89987,0.60184,2.35092,1.42876,3.29171,0.0013796,0.0013796,0.0013796
49,532.774,2.30527,1.81231,3.01372,0.78956,0.83007,0.8919,0.60894,2.32871,1.38919,3.24149,0.0013664,0.0013664,0.0013664
50,543.798,2.36385,1.81857,3.03614,0.78282,0.8208,0.86306,0.57119,2.29755,1.52154,3.26143,0.0013532,0.0013532,0.0013532
