epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3875,7.21448,9.79246,8.68013,0,0,0,0,7.65446,9.7567,8.31534,0.00014,0.00014,0.00014
2,13.6064,6.84643,9.63833,8.57304,0,0,0,0,7.65598,9.76979,8.31131,0.000287129,0.000287129,0.000287129
3,14.9045,7.04377,9.56822,8.46338,0,0,0,0,7.64544,9.7851,8.3039,0.000431288,0.000431288,0.000431288
4,16.2525,7.0415,9.43598,8.37887,0,0,0,0,7.6151,9.79412,8.27949,0.000572477,0.000572477,0.000572477
5,17.6036,6.78881,9.3685,8.30563,0,0,0,0,7.59511,9.67608,8.25907,0.000710696,0.000710696,0.000710696
6,18.9719,7.03128,9.38284,8.27114,0,0,0,0,7.56671,9.43687,8.23679,0.000845945,0.000845945,0.000845945
7,20.3494,7.05482,9.22552,8.19088,0,0,0,0,7.53609,9.19289,8.20195,0.0009406,0.0009406,0.0009406
8,21.6027,7.0882,8.93042,8.1123,0,0,0,0,7.42783,9.17245,8.12239,0.0009307,0.0009307,0.0009307
9,23.0182,6.90993,8.92393,7.94844,0,0,0,0,7.23143,9.13897,8.11717,0.0009208,0.0009208,0.0009208
10,24.4416,6.70865,8.65425,7.8841,0.00196,0.01447,0.01095,0.0034,6.73646,8.79107,7.89853,0.0009109,0.0009109,0.0009109
11,25.9986,6.64355,8.38911,7.71348,0.00285,0.0274,0.01544,0.00541,6.68858,8.90074,7.8889,0.000901,0.000901,0.000901
12,27.88,6.55076,8.20593,7.57894,0.00331,0.07496,0.01028,0.00382,6.08368,7.85544,7.06913,0.0008911,0.0008911,0.0008911
13,29.2944,6.5583,7.97927,7.37907,0.00449,0.11673,0.01085,0.00265,5.98748,7.50472,6.98694,0.0008812,0.0008812,0.0008812
14,30.5741,6.69868,7.61905,7.24618,0.53899,0.03267,0.01319,0.00245,6.15724,7.27907,6.98888,0.0008713,0.0008713,0.0008713
15,31.7803,6.32098,7.57803,7.14166,0.53103,0.03205,0.01316,0.00358,6.2058,10.7941,6.75384,0.0008614,0.0008614,0.0008614
