epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.3951,6.51241,11.864,8.63041,0,0,0,0,6.28535,10.3378,8.31584,0.00014,0.00014,0.00014
2,15.128,6.07172,11.6183,8.59605,0,0,0,0,6.28763,10.3411,8.30982,0.000287129,0.000287129,0.000287129
3,16.7918,6.439,11.4822,8.4304,0,0,0,0,6.27849,10.3434,8.30191,0.000431288,0.000431288,0.000431288
4,18.4933,6.34981,11.1285,8.44001,0,0,0,0,6.26326,10.3483,8.29541,0.000572477,0.000572477,0.000572477
5,20.5585,6.29185,11.2969,8.33214,0,0,0,0,6.25799,10.0976,8.29682,0.000710696,0.000710696,0.000710696
6,22.6259,6.39374,11.414,8.30102,0,0,0,0,6.25899,10.0317,8.29995,0.000845945,0.000845945,0.000845945
7,24.4836,6.44558,11.0243,8.25542,0,0,0,0,6.24292,9.20228,8.29318,0.0009406,0.0009406,0.0009406
8,26.3095,6.63883,10.9069,8.21049,0,0,0,0,6.1701,9.13024,8.24999,0.0009307,0.0009307,0.0009307
9,28.4101,6.29266,10.6601,8.0933,0.00048,0.02564,0.00032,0.00013,5.84746,8.94126,8.09553,0.0009208,0.0009208,0.0009208
10,30.2019,6.2728,10.6244,8.03899,0.00055,0.00321,0.00028,0.00014,5.91441,8.81886,7.99753,0.0009109,0.0009109,0.0009109
11,31.9735,6.16143,10.2803,7.94096,0,0,0,0,5.75248,8.75599,7.94338,0.000901,0.000901,0.000901
12,33.6728,6.02365,10.0682,7.79056,0.00114,0.04063,0.00453,0.0009,5.45754,8.05222,7.84044,0.0008911,0.0008911,0.0008911
13,35.5509,6.02558,10.0845,7.67599,0.00271,0.04074,0.00156,0.00025,5.6182,8.17661,8.14453,0.0008812,0.0008812,0.0008812
14,37.3108,5.94772,9.4383,7.47891,0.00261,0.06048,0.00163,0.00056,5.53193,8.50787,8.08667,0.0008713,0.0008713,0.0008713
15,39.2292,5.96504,9.41653,7.33578,0.00269,0.12314,0.00376,0.00113,6.06096,8.99245,8.25248,0.0008614,0.0008614,0.0008614
16,41.0297,6.07726,9.08961,7.25683,0.00268,0.1097,0.00558,0.00183,5.96824,7.80494,8.11227,0.0008515,0.0008515,0.0008515
17,43.0132,5.83409,9.08621,7.1384,0.00281,0.12686,0.00472,0.00141,5.72906,8.00208,7.5697,0.0008416,0.0008416,0.0008416
18,45.1943,5.7887,9.03848,7.01539,0.78733,0.01613,0.01365,0.00257,5.80096,9.58455,7.4944,0.0008317,0.0008317,0.0008317
19,47.2211,5.70252,9.17716,6.95092,0.52096,0.04032,0.02485,0.00577,5.65932,7.16624,7.02887,0.0008218,0.0008218,0.0008218
20,49.4059,5.88899,9.00242,6.85222,0.00509,0.22674,0.01349,0.0035,5.26317,7.07182,6.81479,0.0008119,0.0008119,0.0008119
21,51.6412,5.72496,8.62798,6.64589,0.50561,0.17897,0.01342,0.00399,5.34051,7.33716,6.70158,0.000802,0.000802,0.000802
22,53.9624,5.6447,8.81521,6.78981,0.51961,0.06948,0.0183,0.00635,5.25789,7.44927,6.647,0.0007921,0.0007921,0.0007921
23,56.1404,5.59972,8.69703,6.65734,0.51731,0.08499,0.01485,0.00489,5.00257,7.58168,6.58182,0.0007822,0.0007822,0.0007822
24,58.4647,5.48303,8.35627,6.60677,0.5178,0.09409,0.013,0.00376,5.1127,7.67597,6.52903,0.0007723,0.0007723,0.0007723
25,60.7443,5.43951,8.39237,6.4964,0.51422,0.13007,0.0178,0.00648,5.08643,7.54356,6.41467,0.0007624,0.0007624,0.0007624
26,63.1656,5.35552,8.26383,6.46417,0.77839,0.04167,0.02566,0.00815,4.961,7.44181,6.48127,0.0007525,0.0007525,0.0007525
27,65.6818,5.27186,8.26852,6.41241,0.79215,0.05128,0.02013,0.00694,4.85608,7.37741,6.43773,0.0007426,0.0007426,0.0007426
