epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.9718,6.48117,8.25403,8.21661,0.00205,0.54646,0.00254,0.00067,5.74338,7.78267,7.92957,0.000662879,0.000662879,0.000662879
2,44.149,5.43288,6.32659,6.49483,0.13114,0.16814,0.06408,0.01304,5.51712,20.2359,8.05921,0.00131638,0.00131638,0.00131638
3,57.8451,4.51419,5.42626,5.46347,0.26493,0.29646,0.16631,0.04979,4.31977,5.62455,5.82155,0.00195669,0.00195669,0.00195669
4,72.212,4.15703,4.92084,4.95353,0.29981,0.29204,0.20831,0.0706,4.09299,4.98257,5.46116,0.0019406,0.0019406,0.0019406
5,93.2158,3.8921,4.58212,4.66646,0.27589,0.33186,0.18625,0.06266,3.88974,5.70598,5.16107,0.0019208,0.0019208,0.0019208
6,111.925,3.78826,4.31098,4.49917,0.31554,0.35619,0.26563,0.10155,3.62203,4.94423,4.94919,0.001901,0.001901,0.001901
7,129.925,3.6312,4.11533,4.33466,0.34766,0.41504,0.34543,0.1399,3.73981,4.15016,4.86269,0.0018812,0.0018812,0.0018812
8,149.355,3.5628,3.92768,4.25023,0.44464,0.42257,0.39371,0.13349,3.79389,4.34112,5.07106,0.0018614,0.0018614,0.0018614
9,169.002,3.44951,3.79672,4.09251,0.4318,0.44027,0.37554,0.15097,3.45907,3.87301,4.724,0.0018416,0.0018416,0.0018416
10,190.189,3.30195,3.64108,3.97367,0.35027,0.46635,0.36421,0.17621,3.37997,4.15895,4.53604,0.0018218,0.0018218,0.0018218
11,210.46,3.26658,3.54242,3.947,0.48061,0.41372,0.43455,0.21281,3.44831,3.52219,4.62098,0.001802,0.001802,0.001802
12,231.541,3.20837,3.41206,3.86239,0.42951,0.45305,0.4224,0.21526,3.26983,3.37908,4.44526,0.0017822,0.0017822,0.0017822
13,251.604,3.18984,3.39301,3.82011,0.53202,0.5,0.49966,0.27617,3.15486,3.17367,4.29859,0.0017624,0.0017624,0.0017624
14,272.718,3.06728,3.18893,3.75049,0.57487,0.49779,0.55203,0.32772,3.02453,3.03138,4.10648,0.0017426,0.0017426,0.0017426
15,293.292,3.03274,3.13761,3.72014,0.56281,0.54682,0.55305,0.31424,3.05634,2.95757,4.20718,0.0017228,0.0017228,0.0017228
16,313.384,2.99961,3.10619,3.67561,0.61934,0.54646,0.60334,0.3261,3.26241,2.81211,4.27548,0.001703,0.001703,0.001703
